district,block,klpid,school_name,dise_code,village,child_count,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,Village,District,Block,Date,Name of the school,KLP ID,Grama Panchayat,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q1,Q2,Q3,Q4,Q5,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total
Bangalore rural,Hosakote,35969,GKHPS K B Hosahalli,29210413201,K.B Hosahalli,59,58,1,0,59,0,0,59,0,0,0,59,0,56,0,3,46,13,0,28,30,1,46,13,0,41,18,0,31,28,0,K B Hosahalli,Bangalore Rural,Hosakote,24/09/2016,GHPS K B Hosahalli,35969,Jadigenahalli,1,0,0.5,0,0,0,0,0.75,0.25,0.5,0.5,0.25,0.75,0,0,0.25,0.75,0,0.75,0.25,6.5
Bangalore rural,Hosakote,36138,GKLPS Kadarinapura,29210401401,Kadarinapura,9,7,2,0,9,0,0,7,0,2,7,0,2,7,0,2,7,2,0,5,4,0,7,2,0,7,2,0,7,2,0,Kadarinapur ,Bangalore Rural,Hosakote,22/12/2016,GLPS Kadarinapur,36138,Sulibele,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,13
Bangalore rural,Hosakote,36106,GKLPS Kamarasanahalli,29210415001,Kamarsanahalli,27,24,3,0,27,0,0,27,0,0,1,26,0,26,0,1,19,8,0,8,19,0,19,8,0,15,12,0,20,7,0,Kamarasanahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Kamarasanahalli,36106,Khajihosahalli,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0.5,0,0,5.5
Bangalore Rural,Hosakote,35886,GHPS Kambalipura,29210403601,Kambalipura,30,28,2,0,28,2,0,29,1,0,4,20,6,15,6,9,21,9,0,14,14,2,16,10,4,10,18,2,18,9,3,Kambalipura,Bangalore Rural,Hosakote,26/10/2016,GHPS Kambalipura,35886,Jayamma,0.69,0.08,0.15,0.08,0.23,0,0.08,0.38,0.38,0.23,0.15,0.15,0.54,0.08,0,0.08,0.23,0.38,0.23,0,4.15
Bangalore Rural,Hosakote,36227,GHPS Kannurhalli,29210417101,Kannurhalli,35,35,0,0,35,0,0,34,1,0,1,34,0,34,1,0,25,10,0,19,16,0,21,14,0,20,15,0,32,3,0,Kannurhalli,Bangalore Rural,Hosakote,01/10/2016,GHPS Kannurhalli,36227,Doddagattinabbe,0.4,0.2,0.4,0,0,0,0,0.2,0.8,0.8,0.4,0.4,0.4,0,0,0.2,0.6,0.2,0.2,0,5.2
Bangalore rural,Hosakote,36104,GHPS Khaji hosahalli,29210414801,Khaji hosahalli,35,35,0,0,35,0,0,35,0,0,0,35,0,35,0,0,35,0,0,33,2,0,33,2,0,33,2,0,35,0,0,Khajihosahalli ,Bangalore Rural,Hosakote,24/12/2016,GHPS Khajihosahalli,36104,Khajihosahalli,0.83,0.5,0.5,0.17,0.5,0.17,0.17,0.33,0.67,0.33,0.17,0.17,0.83,0,0,0.17,0.17,0.33,0,0.33,6.33
Bangalore rural,Hosakote,36085,GLPS Kondrahalli,29210406801,Kondrahalli,15,12,3,0,15,0,0,15,0,0,0,15,0,9,0,6,15,0,0,9,6,0,15,0,0,15,0,0,10,5,0,Kondrahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Kondrahalli,36085,Nandagudi,1,0.43,0.71,1,0.71,0.71,0.71,0.57,1,1,0.86,0.71,1,0.57,0.57,0.43,0.43,0.86,1,0.29,14.57
Bangalore rural,Hosakote,35876,GKHPS Kurubarahatti,29210401506,Kurubarahatti,30,30,0,0,30,0,0,30,0,0,5,25,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,Kurubarahatti ,Bangalore Rural,Hosakote,22/12/2016,GHPS Kurubarahatti,35876,Sulibele,1,0.78,0.67,0.33,0.56,0.56,0.44,0.67,0.78,0.56,0.44,0.56,1,0.33,0.11,0.33,0.11,0.78,0.78,0.56,11.33
Bangalore Rural,Hosakote,35906,GLPS Lakshmipura,29210404902,Lakshmipura,20,9,11,0,18,0,2,20,0,0,20,0,0,8,5,7,16,4,0,5,15,0,10,10,0,10,10,0,9,11,0,Lakshmipura,Bangalore Rural,Hosakote,24/09/2016,GLPS Lakshmipura,35906,Nelavagilu,1,0,0.67,0,0,0,0,0.67,0.67,0.67,0,0,1,0,0,0.33,0,0.67,1,0,6.67
Bangalore Rural,Hosakote,35937,GLPS Lingapura,29210409101,Lingapura,20,16,4,0,20,0,0,19,1,0,0,20,0,17,3,0,19,1,0,9,11,0,20,0,0,14,6,0,18,2,0,Lingapura,Bangalore Rural,Hosakote,01/10/2016,GLPS Lingapura,35937,Hettakki,0.6,0.6,0.4,0.6,0.6,0.4,0.6,1,0.8,0.8,0,0.4,1,0.4,0,0.2,0.8,0.8,0.8,0,10.8
